ID,LIMIT_BAL,PAY_0,BILL_AMT1,BILL_AMT2,PAY_AMT1
1001,50000,0,12000,10000,5000
1002,150000,2,85000,12000,0
1003,200000,0,5000,25000,5000
1004,100000,1,95000,92000,0
1005,150000,0,10055,8468,7445
1006,120000,1,115575,109198,1274
1007,150000,0,2945,28067,28067
1008,250000,2,36999,5515,0
1009,200000,0,51585,43806,25858
1010,200000,0,11181,9939,9445
1011,100000,0,10515,10071,7803
1012,50000,0,13164,13865,7168
1013,100000,0,16568,16223,10155
1014,50000,0,16585,14867,11746
1015,100000,3,92318,87989,206
1016,100000,0,22989,20172,18731
1017,100000,0,9407,8165,7586
1018,100000,3,95982,95759,1033
1019,100000,0,6709,7261,4241
1020,100000,0,16551,15967,13144
1021,200000,0,3230,12384,12384
1022,120000,2,111003,105101,1730
1023,120000,2,114441,114138,582
1024,100000,0,27725,24933,18431
1025,150000,0,55180,47714,35790
1026,200000,0,4575,20227,20227
1027,200000,0,10262,9961,8434
1028,100000,0,15421,14272,9947
1029,200000,0,1217,12304,12304
1030,200000,0,59424,53995,33984
1031,100000,0,17290,14732,8367
1032,150000,0,16301,14515,9097
1033,200000,0,1952,24627,24627
1034,200000,0,15797,14341,10186
1035,150000,0,47735,43118,36762
1036,50000,1,45980,38153,1586
1037,100000,0,14364,15951,11762
1038,150000,0,4479,15437,15437
1039,50000,0,13165,14299,8794
1040,100000,1,91114,84218,290
1041,150000,0,18395,19177,15234
1042,50000,2,47775,42938,1366
1043,150000,0,22709,21271,11183
1044,250000,2,43477,7487,0
1045,50000,0,11105,10878,6100
1046,50000,0,7674,8458,5429
1047,50000,2,45629,38061,289
1048,50000,0,5968,5421,4382
1049,150000,0,1945,10931,10931
1050,150000,0,12361,11545,9179
1051,100000,0,32309,30704,24945
1052,50000,3,47895,39474,136
1053,50000,2,47432,38275,56
1054,100000,0,5287,5496,2890
1055,200000,0,23086,22003,13083
1056,150000,0,1543,26715,26715
1057,200000,0,10513,9958,7407
1058,150000,0,52319,53123,43971
1059,200000,0,27725,27457,22119
1060,50000,1,45582,37471,940
1061,50000,0,11211,10654,6709
1062,50000,0,16515,16002,11295
1063,200000,0,22998,21217,14309
1064,150000,0,1223,17462,17462
1065,50000,3,47395,38917,1854
1066,50000,2,47715,42302,392
1067,50000,0,15421,15965,9943
1068,50000,0,6709,6151,3740
1069,50000,0,16515,14271,8339
1070,50000,1,47285,41951,1002
1071,50000,0,15421,15967,11245
1072,50000,2,47585,39272,423
1073,150000,0,1022,23485,23485
1074,100000,0,27725,25894,18541
1075,100000,0,22915,21271,15431
1076,150000,0,1055,27164,27164
1077,50000,0,16515,15234,10155
1078,50000,0,10223,10154,6704
1079,150000,0,22915,21271,11431
1080,50000,0,15421,14271,9931
1081,250000,2,83669,11451,0
1082,150000,0,1543,18432,18432
1083,50000,0,5285,5104,4112
1084,50000,0,11295,10271,6731
1085,50000,0,16515,14231,10154
1086,100000,3,94318,87391,1852
1087,50000,1,47231,41295,154
1088,50000,0,15421,14271,9943
1089,50000,0,22915,21271,18541
1090,150000,0,3230,28945,28945
1091,50000,0,16515,15431,10125
1092,50000,0,10231,10155,7391
1093,150000,0,22915,21271,18541
1094,50000,0,15421,14271,11245
1095,50000,0,16515,15234,9943
1096,120000,3,115431,105151,1852
1097,100000,0,27725,25841,18541
1098,50000,0,5285,5104,4321
1099,50000,1,45582,39275,185
1100,50000,0,15421,14271,11431
1101,150000,0,1022,23485,23485
1102,100000,0,27725,25894,18541
1103,100000,0,22915,21271,15431
1104,150000,0,1055,27164,27164
1105,50000,0,16515,15234,10155
1106,50000,0,10223,10154,6704
1107,150000,0,22915,21271,11431
1108,50000,0,15421,14271,9931
1109,250000,2,83669,11451,0
1110,150000,0,1543,18432,18432
1111,50000,0,5285,5104,4112
1112,50000,0,11295,10271,6731
1113,50000,0,16515,14231,10154
1114,100000,3,94318,87391,1852
1115,50000,1,47231,41295,154
1116,50000,0,15421,14271,9943
1117,50000,0,22915,21271,18541
1118,150000,0,3230,28945,28945
1119,50000,0,16515,15431,10125
1120,50000,0,10231,10155,7391
1121,150000,0,22915,21271,18541
1122,50000,0,15421,14271,11245
1123,50000,0,16515,15234,9943
1124,120000,3,115431,105151,1852
1125,100000,0,27725,25841,18541
1126,50000,0,5285,5104,4321
1127,50000,1,45582,39275,185
1128,50000,0,15421,14271,11431
1129,200000,0,22055,21468,17445
1130,120000,1,114575,107198,1274
1131,200000,0,1945,22067,22067
1132,250000,2,42999,6515,0
1133,200000,0,53585,41806,23858
1134,200000,0,13181,11939,11445
1135,100000,0,12515,12071,9803
1136,50000,0,15164,15865,9168
1137,100000,0,18568,18223,12155
1138,50000,0,18585,16867,13746
1139,100000,3,95318,91989,406
1140,100000,0,24989,22172,20731
1141,100000,0,11407,10165,9586
1142,100000,3,97982,97759,2033
1143,100000,0,8709,9261,6241
1144,100000,0,18551,17967,15144
1145,200000,0,5230,14384,14384
1146,120000,2,113003,107101,3730
1147,120000,2,116441,116138,2582
1148,100000,0,29725,26933,20431
1149,150000,0,57180,49714,37790
1150,200000,0,6575,22227,22227
1151,200000,0,12262,11961,10434
1152,100000,0,17421,16272,11947
1153,200000,0,3217,14304,14304
1154,200000,0,61424,55995,35984
1155,100000,0,19290,16732,10367
1156,150000,0,18301,16515,11097
1157,200000,0,3952,26627,26627
1158,200000,0,17797,16341,12186
1159,150000,0,49735,45118,38762
1160,50000,1,47980,40153,3586
1161,100000,0,16364,17951,13762
1162,150000,0,6479,17437,17437
1163,50000,0,15165,16299,10794
1164,100000,1,93114,86218,2290
1165,150000,0,20395,21177,17234
1166,50000,2,49775,44938,3366
1167,150000,0,24709,23271,13183
1168,250000,2,45477,9487,200
1169,50000,0,13105,12878,8100
1170,50000,0,9674,10458,7429
1171,50000,2,47629,40061,2289
1172,50000,0,7968,7421,6382
1173,150000,0,3945,12931,12931
1174,150000,0,14361,13545,11179
1175,100000,0,34309,32704,26945
1176,50000,3,49895,41474,2136
1177,50000,2,49432,40275,2056
1178,100000,0,7287,7496,4890
1179,200000,0,25086,24003,15083
1180,150000,0,3543,28715,28715
1181,200000,0,12513,11958,9407
1182,150000,0,54319,55123,45971
1183,200000,0,29725,29457,24119
1184,50000,1,47582,39471,2940
1185,50000,0,13211,12654,8709
1186,50000,0,18515,18002,13295
1187,200000,0,24998,23217,16309
1188,150000,0,3223,19462,19462
1189,50000,3,49395,40917,3854
1190,50000,2,49715,44302,2392
1191,50000,0,17421,17965,11943
1192,50000,0,8709,8151,5740
1193,50000,0,18515,16271,10339
1194,50000,1,49285,43951,3002
1195,50000,0,17421,17967,13245
1196,50000,2,49585,41272,2423
1197,150000,0,3022,25485,25485
1198,100000,0,29725,27894,20541
1199,100000,0,24915,23271,17431
1200,150000,0,3055,29164,29164
1201,50000,0,18515,17234,12155
1202,50000,0,12223,12154,8704
1203,150000,0,24915,25271,13431
1204,50000,0,17421,16271,11931
1205,250000,2,85669,13451,200
1206,150000,0,3543,20432,20432
1207,50000,0,7285,7104,6112
1208,50000,0,13295,12271,8731
1209,50000,0,18515,16231,12154
1210,100000,3,96318,89391,3852
1211,50000,1,49231,43295,2154
1212,50000,0,17421,16271,11943
1213,50000,0,24915,23271,20541
1214,150000,0,5230,30945,30945
1215,50000,0,18515,17431,12125
1216,50000,0,12231,12155,9391
1217,150000,0,24915,23271,20541
1218,50000,0,17421,16271,13245
1219,50000,0,18515,17234,11943
1220,120000,3,117431,107151,3852
1221,100000,0,29725,27841,20541
1222,50000,0,7285,7104,6321
1223,50000,1,47582,41275,2185
1224,50000,0,17421,16271,13431
1225,150000,0,3022,25485,25485
1226,100000,0,29725,27894,20541
1227,100000,0,24915,23271,17431
1228,150000,0,3055,29164,29164
1229,50000,0,18515,17234,12155
1230,50000,0,12223,12154,8704
1231,150000,0,24915,25271,13431
1232,50000,0,17421,16271,11931
1233,250000,2,85669,13451,200
1234,150000,0,3543,20432,20432
1235,50000,0,7285,7104,6112
1236,50000,0,13295,12271,8731
1237,50000,0,18515,16231,12154
1238,100000,3,96318,89391,3852
1239,50000,1,49231,43295,2154
1240,50000,0,17421,16271,11943
